technique_id,is_subtechnique,parent_id,name,tactics,tactic_ids,platforms,data_components,detection_guidance,mitigations,url,description
T1001,No,,Data Obfuscation,Command and Control,TA0011,ESXi; Linux; macOS; Windows,,,M1031 Network Intrusion Prevention,https://attack.mitre.org/techniques/T1001,"Adversaries may obfuscate command and control traffic to make it more difficult to detect.(Citation: Bitdefender FunnyDream Campaign November 2020) Command and control (C2) communications are hidden (but not necessarily encrypted) in an attempt to make the content more difficult to discover or decipher and to make the communication less conspicuous and hide commands from being seen. This encompasses many methods, such as adding junk data to protocol traffic, using steganography, or impersonating legitimate protocols. "
T1001.001,Yes,T1001,Junk Data,Command and Control,TA0011,ESXi; Linux; macOS; Windows,,,M1031 Network Intrusion Prevention,https://attack.mitre.org/techniques/T1001/001,"Adversaries may add junk data to protocols used for command and control to make detection more difficult.(Citation: FireEye SUNBURST Backdoor December 2020) By adding random or meaningless data to the protocols used for command and control, adversaries can prevent trivial methods for decoding, deciphering, or otherwise analyzing the traffic. Examples may include appending/prepending data with junk characters or writing junk characters between significant characters. "
T1001.002,Yes,T1001,Steganography,Command and Control,TA0011,Linux; macOS; Windows; ESXi,,,M1031 Network Intrusion Prevention,https://attack.mitre.org/techniques/T1001/002,"Adversaries may use steganographic techniques to hide command and control traffic to make detection efforts more difficult. Steganographic techniques can be used to hide data in digital messages that are transferred between systems. This hidden information can be used for command and control of compromised systems. In some cases, the passing of files embedded using steganography, such as image or document files, can be used for command and control. "
T1001.003,Yes,T1001,Protocol or Service Impersonation,Command and Control,TA0011,ESXi; Linux; macOS; Windows,,,M1031 Network Intrusion Prevention,https://attack.mitre.org/techniques/T1001/003,"Adversaries may impersonate legitimate protocols or web service traffic to disguise command and control activity and thwart analysis efforts. By impersonating legitimate protocols or web services, adversaries can make their command and control traffic blend in with legitimate network traffic.  "
T1003,No,,OS Credential Dumping,Credential Access,TA0006,Linux; macOS; Windows,,,M1015 Active Directory Configuration | M1017 User Training | M1025 Privileged Process Integrity | M1026 Privileged Account Management | M1027 Password Policies | M1028 Operating System Configuration | M1040 Behavior Prevention on Endpoint | M1041 Encrypt Sensitive Information | M1043 Credential Access Protection,https://attack.mitre.org/techniques/T1003,"Adversaries may attempt to dump credentials to obtain account login and credential material, normally in the form of a hash or a clear text password. Credentials can be obtained from OS caches, memory, or structures.(Citation: Brining MimiKatz to Unix) Credentials can then be used to perform [Lateral Movement](https://attack.mitre.org/tactics/TA0008) and access restricted information."
T1003.001,Yes,T1003,LSASS Memory,Credential Access,TA0006,Windows,,,M1017 User Training | M1025 Privileged Process Integrity | M1026 Privileged Account Management | M1027 Password Policies | M1028 Operating System Configuration | M1040 Behavior Prevention on Endpoint | M1043 Credential Access Protection,https://attack.mitre.org/techniques/T1003/001,"Adversaries may attempt to access credential material stored in the process memory of the Local Security Authority Subsystem Service (LSASS). After a user logs on, the system generates and stores a variety of credential materials in LSASS process memory. These credential materials can be harvested by an administrative user or SYSTEM and used to conduct [Lateral Movement](https://attack.mitre.org/tactics/TA0008) using [Use Alternate Authentication Material](https://attack.mitre.org/techniques/T1550)."
T1003.002,Yes,T1003,Security Account Manager,Credential Access,TA0006,Windows,,,M1017 User Training | M1026 Privileged Account Management | M1027 Password Policies | M1028 Operating System Configuration,https://attack.mitre.org/techniques/T1003/002,"Adversaries may attempt to extract credential material from the Security Account Manager (SAM) database either through in-memory techniques or through the Windows Registry where the SAM database is stored. The SAM is a database file that contains local accounts for the host, typically those found with the <code>net user</code> command. Enumerating the SAM database requires SYSTEM level access."
T1003.003,Yes,T1003,NTDS,Credential Access,TA0006,Windows,,,M1017 User Training | M1026 Privileged Account Management | M1027 Password Policies | M1041 Encrypt Sensitive Information,https://attack.mitre.org/techniques/T1003/003,"Adversaries may attempt to access or create a copy of the Active Directory domain database in order to steal credential information, as well as obtain other information about domain members such as devices, users, and access rights. By default, the NTDS file (NTDS.dit) is located in <code>%SystemRoot%\NTDS\Ntds.dit</code> of a domain controller.(Citation: Wikipedia Active Directory)"
T1003.004,Yes,T1003,LSA Secrets,Credential Access,TA0006,Windows,,,M1017 User Training | M1026 Privileged Account Management | M1027 Password Policies,https://attack.mitre.org/techniques/T1003/004,"Adversaries with SYSTEM access to a host may attempt to access Local Security Authority (LSA) secrets, which can contain a variety of different credential materials, such as credentials for service accounts.(Citation: Passcape LSA Secrets)(Citation: Microsoft AD Admin Tier Model)(Citation: Tilbury Windows Credentials) LSA secrets are stored in the registry at <code>HKEY_LOCAL_MACHINE\SECURITY\Policy\Secrets</code>. LSA secrets can also be dumped from memory.(Citation: ired Dumping LSA Secrets)"
T1003.005,Yes,T1003,Cached Domain Credentials,Credential Access,TA0006,Windows; Linux,,,M1015 Active Directory Configuration | M1017 User Training | M1026 Privileged Account Management | M1027 Password Policies | M1028 Operating System Configuration,https://attack.mitre.org/techniques/T1003/005,Adversaries may attempt to access cached domain credentials used to allow authentication to occur in the event a domain controller is unavailable.(Citation: Microsoft - Cached Creds)
T1003.006,Yes,T1003,DCSync,Credential Access,TA0006,Windows,,,M1015 Active Directory Configuration | M1026 Privileged Account Management | M1027 Password Policies,https://attack.mitre.org/techniques/T1003/006,Adversaries may attempt to access credentials and other sensitive information by abusing a Windows Domain Controller's application programming interface (API)(Citation: Microsoft DRSR Dec 2017) (Citation: Microsoft GetNCCChanges) (Citation: Samba DRSUAPI) (Citation: Wine API samlib.dll) to simulate the replication process from a remote domain controller using a technique called DCSync.
T1003.007,Yes,T1003,Proc Filesystem,Credential Access,TA0006,Linux,,,M1026 Privileged Account Management | M1027 Password Policies,https://attack.mitre.org/techniques/T1003/007,"Adversaries may gather credentials from the proc filesystem or `/proc`. The proc filesystem is a pseudo-filesystem used as an interface to kernel data structures for Linux based systems managing virtual memory. For each process, the `/proc/<PID>/maps` file shows how memory is mapped within the process’s virtual address space. And `/proc/<PID>/mem`, exposed for debugging purposes, provides access to the process’s virtual address space.(Citation: Picus Labs Proc cump 2022)(Citation: baeldung Linux proc map 2022)"
T1003.008,Yes,T1003,/etc/passwd and /etc/shadow,Credential Access,TA0006,Linux,,,M1026 Privileged Account Management | M1027 Password Policies,https://attack.mitre.org/techniques/T1003/008,"Adversaries may attempt to dump the contents of <code>/etc/passwd</code> and <code>/etc/shadow</code> to enable offline password cracking. Most modern Linux operating systems use a combination of <code>/etc/passwd</code> and <code>/etc/shadow</code> to store user account information, including password hashes in <code>/etc/shadow</code>. By default, <code>/etc/shadow</code> is only readable by the root user.(Citation: Linux Password and Shadow File Formats)"
T1005,No,,Data from Local System,Collection,TA0009,ESXi; Linux; macOS; Network Devices; Windows,,,M1057 Data Loss Prevention,https://attack.mitre.org/techniques/T1005,"Adversaries may search local system sources, such as file systems, configuration files, local databases, virtual machine files, or process memory, to find files of interest and sensitive data prior to Exfiltration."
